Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_gripper,-2.7339E-07,-7.4538E-07,0.022293,0,0,0,0.19186,9.521E-05,-7.2876E-10,-1.8228E-11,0.0001169,1.8664E-10,0.00015761,0,0,0,0,0,0,package://gripper/meshes/base_gripper.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://gripper/meshes/base_gripper.STL,,gripper_base-1,gripper_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_fingers,-0.0064675,0.046006,0.0096433,0,0,0,0.065089,5.9682E-05,1.3253E-21,5.951E-22,1.3886E-05,-1.8761E-05,5.1408E-05,0,0,0,0,0,0,package://gripper/meshes/right_fingers.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gripper/meshes/right_fingers.STL,,gripper_finger-1;gripper_finger-3,finger_coord <gripper_finger-1>,Axis1,right_fingers_joint,revolute,-0.0064675,-0.028,0.035209,1.3803,0,3.1416,base_gripper,-1,0,0,0,0,0,0,,,,,,,,
left_fingers,-0.0064675,0.046006,0.0096433,0,0,0,0.065089,5.9682E-05,4.3611E-21,4.146E-22,1.3886E-05,-1.8761E-05,5.1408E-05,0,0,0,0,0,0,package://gripper/meshes/left_fingers.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://gripper/meshes/left_fingers.STL,,gripper_finger-2;gripper_finger-4,finger_coord <gripper_finger-4>,Axis2,left_fingers_joint,revolute,0.0064675,0.028,0.035209,1.3803,0,0,base_gripper,1,0,0,0,0,0,0,,,,,,,,
